goos: darwin
goarch: arm64
pkg: spiff/internal/utils
cpu: Apple M5
BenchmarkDiffLinesLCS-10                                  	    1342	    842715 ns/op	 1040390 B/op	       2 allocs/op
BenchmarkDiffLinesLCS-10                                  	    1408	    821440 ns/op	 1040386 B/op	       2 allocs/op
BenchmarkDiffLinesLCS-10                                  	    1500	    812889 ns/op	 1040385 B/op	       2 allocs/op
BenchmarkDiffLinesLCS-10                                  	    1450	    805303 ns/op	 1040385 B/op	       2 allocs/op
BenchmarkDiffLinesLCS-10                                  	    1495	    803274 ns/op	 1040385 B/op	       2 allocs/op
BenchmarkDiffLinesLCS-10                                  	    1490	    800044 ns/op	 1040385 B/op	       2 allocs/op
BenchmarkDiffLines-10                                     	  164047	      7332 ns/op	   54016 B/op	       6 allocs/op
BenchmarkDiffLines-10                                     	  159466	      7506 ns/op	   54016 B/op	       6 allocs/op
BenchmarkDiffLines-10                                     	  161703	      7492 ns/op	   54016 B/op	       6 allocs/op
BenchmarkDiffLines-10                                     	  160141	      7506 ns/op	   54016 B/op	       6 allocs/op
BenchmarkDiffLines-10                                     	  169284	      7429 ns/op	   54016 B/op	       6 allocs/op
BenchmarkDiffLines-10                                     	  162223	      7510 ns/op	   54016 B/op	       6 allocs/op
BenchmarkDiffLinesMyers-10                                	   99002	     12301 ns/op	  100096 B/op	       6 allocs/op
BenchmarkDiffLinesMyers-10                                	   94816	     12377 ns/op	  100096 B/op	       6 allocs/op
BenchmarkDiffLinesMyers-10                                	   96024	     12496 ns/op	  100096 B/op	       6 allocs/op
BenchmarkDiffLinesMyers-10                                	   97050	     12520 ns/op	  100096 B/op	       6 allocs/op
BenchmarkDiffLinesMyers-10                                	   95955	     12776 ns/op	  100096 B/op	       6 allocs/op
BenchmarkDiffLinesMyers-10                                	   95918	     12522 ns/op	  100096 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_LargeSimilar-10                   	   10731	    111516 ns/op	  984832 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_LargeSimilar-10                   	    8934	    114069 ns/op	  984832 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_LargeSimilar-10                   	   10000	    110412 ns/op	  984832 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_LargeSimilar-10                   	   10000	    113088 ns/op	  984832 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_LargeSimilar-10                   	   10000	    110995 ns/op	  984832 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_LargeSimilar-10                   	    7665	    141977 ns/op	  984835 B/op	       6 allocs/op
BenchmarkDiffLinesLCS_LargeSimilar-10                     	      13	  81584330 ns/op	100368384 B/op	       2 allocs/op
BenchmarkDiffLinesLCS_LargeSimilar-10                     	      14	  81311670 ns/op	100368392 B/op	       2 allocs/op
BenchmarkDiffLinesLCS_LargeSimilar-10                     	      14	  81785893 ns/op	100368384 B/op	       2 allocs/op
BenchmarkDiffLinesLCS_LargeSimilar-10                     	      14	  81373149 ns/op	100368384 B/op	       2 allocs/op
BenchmarkDiffLinesLCS_LargeSimilar-10                     	      15	  79706936 ns/op	100368384 B/op	       2 allocs/op
BenchmarkDiffLinesLCS_LargeSimilar-10                     	      15	  79976233 ns/op	100368384 B/op	       2 allocs/op
BenchmarkDiffLines_LargeSimilar-10                        	   18756	     63891 ns/op	  354048 B/op	       6 allocs/op
BenchmarkDiffLines_LargeSimilar-10                        	   18044	     65384 ns/op	  354048 B/op	       6 allocs/op
BenchmarkDiffLines_LargeSimilar-10                        	   18568	     64838 ns/op	  354048 B/op	       6 allocs/op
BenchmarkDiffLines_LargeSimilar-10                        	   18183	     65813 ns/op	  354048 B/op	       6 allocs/op
BenchmarkDiffLines_LargeSimilar-10                        	   18686	     64335 ns/op	  354048 B/op	       6 allocs/op
BenchmarkDiffLines_LargeSimilar-10                        	   18418	     64814 ns/op	  354048 B/op	       6 allocs/op
BenchmarkDiffLines_LargeDissimilar-10                     	      26	  44094247 ns/op	102593024 B/op	     364 allocs/op
BenchmarkDiffLines_LargeDissimilar-10                     	      26	  44256938 ns/op	102593024 B/op	     364 allocs/op
BenchmarkDiffLines_LargeDissimilar-10                     	      26	  44950030 ns/op	102593024 B/op	     364 allocs/op
BenchmarkDiffLines_LargeDissimilar-10                     	      26	  44038995 ns/op	102593024 B/op	     364 allocs/op
BenchmarkDiffLines_LargeDissimilar-10                     	      26	  43908614 ns/op	102593024 B/op	     364 allocs/op
BenchmarkDiffLines_LargeDissimilar-10                     	      26	  43927497 ns/op	102593024 B/op	     364 allocs/op
BenchmarkDiffLinesMyers_ExtraLargeSimilar-10              	      22	  45979998 ns/op	433661938 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_ExtraLargeSimilar-10              	      33	  34274370 ns/op	433661696 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_ExtraLargeSimilar-10              	      36	  32470515 ns/op	433661696 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_ExtraLargeSimilar-10              	      37	  32229626 ns/op	433661696 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_ExtraLargeSimilar-10              	      34	  33541618 ns/op	433661696 B/op	       6 allocs/op
BenchmarkDiffLinesMyers_ExtraLargeSimilar-10              	      34	  33950218 ns/op	433661696 B/op	       6 allocs/op
BenchmarkDiffLines_ExtraLargeSimilar-10                   	      52	  19736337 ns/op	144713472 B/op	       6 allocs/op
BenchmarkDiffLines_ExtraLargeSimilar-10                   	      57	  20431873 ns/op	144713473 B/op	       6 allocs/op
BenchmarkDiffLines_ExtraLargeSimilar-10                   	      60	  19693947 ns/op	144713473 B/op	       6 allocs/op
BenchmarkDiffLines_ExtraLargeSimilar-10                   	      60	  19700692 ns/op	144713472 B/op	       6 allocs/op
BenchmarkDiffLines_ExtraLargeSimilar-10                   	      58	  20030459 ns/op	144713472 B/op	       6 allocs/op
BenchmarkDiffLines_ExtraLargeSimilar-10                   	      60	  19666842 ns/op	144713472 B/op	       6 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10    	      86	  13510621 ns/op	97810176 B/op	    2391 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10    	      87	  13309970 ns/op	97810176 B/op	    2391 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10    	      86	  13632256 ns/op	97810176 B/op	    2391 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10    	      81	  13666020 ns/op	97810176 B/op	    2391 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10    	      87	  13348756 ns/op	97810176 B/op	    2391 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10    	      87	  13413448 ns/op	97810176 B/op	    2391 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar-10                	       1	1807390333 ns/op	2152792576 B/op	     479 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar-10                	       1	1030643084 ns/op	2152792576 B/op	     479 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar-10                	       2	1186989021 ns/op	2152792576 B/op	     479 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar-10                	       2	1249519584 ns/op	2152792576 B/op	     479 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar-10                	       1	1510292000 ns/op	2152792576 B/op	     479 allocs/op
BenchmarkDiffLines_ExtraLargeDissimilar-10                	       2	1217560312 ns/op	2152792576 B/op	     479 allocs/op
BenchmarkNewUUID-10                                       	 2892272	       414.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkNewUUID-10                                       	 2911891	       413.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkNewUUID-10                                       	 2900577	       413.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkNewUUID-10                                       	 2907205	       412.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkNewUUID-10                                       	 2909090	       413.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkNewUUID-10                                       	 2902087	       413.6 ns/op	      48 B/op	       1 allocs/op
PASS
ok  	spiff/internal/utils	95.594s
